MEMBER_NO,AGE_GROUP,SEX_CCD,HM_ZPN
Z3513225601ST,40th,M,431753
Z3513244901ST,40th,M,15253
Z3513278611ST,40th,M,12520
Z3513297881ST,40th,M,10354
Z3514213711ST,40th,M,6085
Z3514233011ST,40th,M,11484
Z3514233401ST,30th,F,31995
Z3514236191ST,30th,F,7029
Z3514246311ST,30th,F,8857
Z3514255121ST,30th,F,1703
Z3514255761ST,30th,F,26489
Z3514269191ST,30th,F,14613
Z3514296681ST,30th,F,10894
Z3523238341ST,30th,F,15202
Z3524210541ST,40th,M,6284
Z3524226281ST,40th,M,14907
Z3524228031ST,30th,F,16455
Z3524267681ST,40th,M,28779
Z3524283341ST,30th,F,12218
Z3533254401ST,40th,M,11786
Z3533267671ST,40th,M,14208
Z3534214901ST,40th,M,46505
Z3534231121ST,30th,F,4737
Z3534232191ST,30th,F,13616
Z3534232211ST,30th,F,14609
Z3534246691ST,40th,M,50987
Z3534261591ST,30th,F,44615
Z3534275661ST,40th,M,10080
Z3534285581ST,40th,M,36638
Z3534298991ST,40th,M,24817
Z3544215901ST,40th,M,8207
Z3544219961ST,30th,F,16330
Z3544245551ST,30th,F,37570
Z3544259691ST,30th,F,8853
Z3544276711ST,40th,M,6010
Z3553239631ST,40th,M,1661
Z3553274291ST,30th,F,16558
Z3563248511ST,30th,F,4701
Z3563275401ST,30th,F,10335
Z3563287991ST,30th,F,23048
Z3604217381ST,40th,M,21103
Z3604222881ST,30th,F,12745
Z3604225741ST,30th,F,5502
Z3604235371ST,40th,M,136794
Z3604240491ST,30th,F,14232
Z3604241131ST,40th,M,5316
Z3604244421ST,30th,F,12580
Z3604246241ST,40th,M,482938
Z3604269701ST,40th,M,5266
Z3604272861ST,40th,M,8219
Z3604273151ST,40th,M,8104
Z3604276031ST,30th,F,16650
Z3604280031ST,40th,M,1682
Z3604283851ST,30th,F,17090
Z3604288671ST,40th,M,301756
Z3614210321ST,30th,F,2832
Z3614233271ST,40th,M,7017
Z3614233281ST,40th,M,16459
Z3614236271ST,30th,F,4940
Z3614244861ST,30th,F,1064
Z3614252521ST,30th,F,28172
Z3614261861ST,30th,F,24327
Z3614263711ST,40th,M,22238
Z3614266441ST,30th,F,17914
Z3614268301ST,40th,M,1670
Z3623222321ST,40th,M,10495
Z3623262561ST,40th,M,24817
Z3623275231ST,40th,M,8378
Z3623280601ST,40th,M,27203
Z3623283051ST,30th,F,5825
Z3623295171ST,30th,F,1458
Z3624215111ST,30th,F,4063
Z3624245561ST,40th,M,26446
Z3624245951ST,30th,F,8760
Z3624255091ST,40th,F,21982
Z3624255131ST,40th,F,2714
Z3624260361ST,40th,F,12633
Z3624278141ST,40th,F,31579
Z3624278261ST,40th,M,38067
Z3634213701ST,40th,F,1444
Z3634215471ST,40th,F,21416
Z3634217181ST,40th,F,4936
Z3634217761ST,40th,M,38066
Z3634218631ST,40th,F,15324
Z3634223311ST,40th,F,42002
Z3634227851ST,40th,M,21650
Z3634228381ST,40th,M,10097
Z3634229311ST,40th,F,16208
Z3634232791ST,40th,F,3726
Z3634232961ST,40th,M,5316
Z3634237471ST,40th,F,4392
Z3634239791ST,40th,F,39201
Z3634242051ST,40th,F,25318
Z3634244541ST,40th,F,24868
Z3634246541ST,40th,F,16278
Z3634253251ST,40th,M,28627
Z3634255481ST,40th,M,5209
Z3634258141ST,40th,M,42623
Z3634262221ST,40th,F,53067
Z3634266211ST,40th,F,4971
Z3634266421ST,40th,F,2505
Z3634266481ST,40th,M,63221
Z3634267001ST,40th,M,16454
Z3634270951ST,40th,F,16624
Z3634271811ST,40th,F,27175
Z3634275321ST,40th,F,17883
Z3634276321ST,40th,F,14577
Z3634276341ST,40th,M,39262
Z3634276821ST,40th,M,28464
Z3634276891ST,40th,F,21645
Z3634281021ST,40th,M,34885
Z3634287361ST,40th,F,31158
Z3634293611ST,40th,F,37545
Z3634294721ST,40th,F,36638
Z3634298751ST,40th,F,16664
Z3643250741ST,40th,F,13922
Z3644215211ST,40th,F,51158
Z3644218851ST,40th,F,8551
Z3644233391ST,40th,F,1675
Z3644235191ST,40th,M,21572
Z3644239001ST,40th,F,5007
Z3644240271ST,40th,F,57525
Z3644248581ST,40th,F,10511
Z3644248631ST,40th,F,44019
Z3644251671ST,40th,F,16688
Z3644251751ST,40th,F,17995
Z3644253881ST,40th,M,39307
Z3644256741ST,40th,M,25375
Z3644256891ST,40th,F,24378
Z3644256941ST,40th,M,1619
Z3644263611ST,40th,M,5263
Z3644263891ST,40th,F,22703
Z3644265131ST,40th,M,13970
Z3644265201ST,40th,F,47504
Z3644267791ST,40th,F,6991
Z3644269411ST,40th,F,42172
Z3644269861ST,40th,F,3403
Z3644270061ST,40th,M,21977
Z3644272331ST,40th,M,22238
Z3644273091ST,40th,F,15283
Z3644273181ST,40th,M,33141
Z3644273411ST,40th,F,10465
Z3644281431ST,40th,F,38081
Z3644283451ST,40th,F,1645
Z3644284101ST,40th,F,63251
Z3644284261ST,40th,F,36692
Z3644290061ST,40th,F,38657
Z3644292061ST,40th,M,51007
Z3644294811ST,40th,M,53250
Z3644295871ST,40th,F,16317
Z3644296461ST,40th,F,17344
Z3644297001ST,40th,F,54164
Z3644298441ST,40th,F,24236
Z3644298931ST,40th,F,12135
Z3653267151ST,40th,M,7258
Z3663210971ST,40th,F,2874
Z3663229111ST,40th,F,13611
Z3663231231ST,40th,F,2714
Z3663244341ST,40th,M,2126
Z3663245611ST,40th,M,10106
Z3663250931ST,40th,M,13492
Z3663281541ST,40th,M,7998
Z3704213531ST,40th,M,16336
Z3704217091ST,40th,F,25265
Z3704220591ST,40th,M,38067
Z3704221821ST,40th,M,2178
Z3704223591ST,40th,M,5652
Z3704245491ST,40th,F,12790
Z3714215431ST,40th,M,21948
Z3714215941ST,40th,F,34823
Z3714235411ST,40th,F,7344
Z3714240401ST,40th,F,22765
Z3714247621ST,40th,M,36161
Z3714253241ST,40th,M,2791
Z3714255651ST,40th,F,5678
Z3714265851ST,40th,M,26330
Z3714268411ST,40th,F,2845
Z3714277251ST,40th,M,25423
Z3714293461ST,40th,F,10895
Z3723280801ST,40th,M,58522
Z3724228341ST,40th,F,410787
Z3724232441ST,40th,F,52017
Z3724238201ST,40th,F,6944
Z3724251911ST,40th,F,2810
Z3724254491ST,40th,F,13836
Z3724262571ST,40th,M,28768
Z3724265951ST,40th,M,7403
Z3724281751ST,40th,F,54920
Z3724289511ST,40th,F,51726
Z3724298411ST,40th,M,46539
Z3733217431ST,40th,F,4763
Z3733270241ST,40th,M,5516
Z3734234951ST,40th,M,34059
Z3734251501ST,40th,M,15588
Z3734266151ST,40th,M,12930
Z3743295681ST,40th,M,58537
Z3744210061ST,40th,F,54987
Z3744211981ST,40th,M,1463
Z3744222491ST,40th,F,27348
Z3744227501ST,40th,M,36729
Z3744228251ST,40th,F,14071
Z3744240691ST,40th,F,11948
Z3744259411ST,40th,F,1764
Z3744277811ST,40th,M,28506
Z3744282781ST,40th,M,11945
Z3744284291ST,40th,F,58264
Z3753213061ST,40th,F,8781
Z3753284791ST,40th,F,8028
Z3753297511ST,40th,M,3709
Z3763223371ST,40th,M,51007
Z3763229651ST,40th,F,1192
Z3763266001ST,40th,F,6597
Z3804244101ST,40th,M,22377
Z3804253661ST,40th,M,14533
Z3804262001ST,40th,M,7950
Z3804267391ST,40th,M,14782
Z3804283151ST,40th,M,58646
Z3814213221ST,40th,M,24340
Z3814213911ST,40th,F,1787
Z3814216781ST,40th,F,360170
Z3814221141ST,40th,F,22739
Z3814223711ST,40th,F,36751
Z3814231411ST,40th,M,38857
Z3814234581ST,40th,F,28753
Z3814234831ST,40th,F,157765
Z3814236581ST,40th,M,450729
Z3814241951ST,40th,F,6001
Z3814242621ST,40th,F,28774
Z3814247061ST,40th,M,54569
Z3814247181ST,40th,F,24331
Z3814247581ST,40th,M,31471
Z3814249291ST,40th,M,12039
Z3814256391ST,40th,M,13902
Z3814257911ST,40th,M,642150
Z3814258401ST,40th,M,36758
Z3814260551ST,40th,M,28391
Z3814260871ST,40th,M,5771
Z3814264971ST,40th,M,33501
Z3814266921ST,40th,M,448992
Z3814267461ST,40th,M,28324
Z3814267501ST,40th,F,14206
Z3814268251ST,40th,M,44059
Z3814271451ST,40th,M,445740
Z3814272061ST,40th,M,21606
Z3814273361ST,40th,F,10211
Z3814274901ST,40th,M,17763
Z3814276171ST,40th,F,12954
Z3814278231ST,40th,M,26337
Z3814278851ST,40th,F,16420
Z3814281081ST,40th,M,28180
Z3814285281ST,40th,F,21351
Z3814287051ST,40th,F,31506
Z3814291081ST,40th,F,760757
Z3814298211ST,40th,F,3334
Z3823222451ST,40th,M,6509
Z3823232111ST,40th,M,14778
Z3823282221ST,40th,F,34010
Z3824214551ST,40th,F,15447
Z3824215851ST,40th,F,5009
Z3824216981ST,40th,F,22222
Z3824223651ST,40th,M,36681
Z3824228581ST,40th,M,18366
Z3824231631ST,40th,M,61023
Z3824233981ST,40th,M,17005
Z3824235281ST,40th,M,14909
Z3824238101ST,40th,M,62445
Z3824239911ST,40th,M,17017
Z3824241751ST,40th,F,4762
Z3824243191ST,40th,M,14907
Z3824245361ST,40th,M,8047
Z3824247251ST,40th,F,38487
Z3824253711ST,40th,M,11928
Z3824254321ST,40th,F,463893
Z3824255691ST,40th,M,63087
Z3824260021ST,40th,F,16295
Z3824260511ST,40th,M,8805
Z3824262421ST,40th,F,21306
Z3824262771ST,40th,M,12765
Z3824262841ST,40th,F,545750
Z3824266001ST,40th,F,16824
Z3824273101ST,40th,F,2535
Z3824273551ST,40th,F,10310
Z3824276541ST,40th,M,33426
Z3824277031ST,40th,F,11492
Z3824284121ST,40th,F,37309
Z3824289911ST,40th,F,33479
Z3824290721ST,40th,F,11305
Z3824290871ST,40th,F,44476
Z3824292141ST,40th,F,8807
Z3824293441ST,40th,F,7751
Z3824295321ST,40th,M,21670
Z3824296611ST,40th,F,15467
Z3824297501ST,40th,F,406726
Z3824297591ST,40th,M,52687
Z3833215251ST,40th,M,7013
Z3833238661ST,40th,F,6330
Z3833270251ST,40th,M,2791
Z3843254781ST,40th,M,24311
Z3844215121ST,40th,M,15442
Z3844253751ST,40th,M,42606
Z3844286751ST,40th,F,37930
Z3844293021ST,40th,F,13156
Z3853214201ST,40th,M,12126
Z3853243381ST,40th,M,1604
Z3862289761ST,40th,M,13526
Z3863211891ST,40th,M,22505
Z3863289301ST,40th,M,31019
Z3904248441ST,40th,M,7646
Z3913262541ST,40th,M,18453
Z3914218921ST,40th,M,14407
Z3914219791ST,40th,M,21958
Z3914266481ST,40th,F,21957
Z3914296831ST,40th,F,63221
Z3923292151ST,40th,F,8564
Z3924213991ST,40th,F,31191
Z3924215461ST,40th,F,25358
Z3924227771ST,40th,F,27158
Z3924250711ST,40th,M,12819
Z3924296341ST,40th,M,15588
Z3933230381ST,40th,M,16423
Z3933231691ST,40th,F,7570
Z3933236431ST,40th,F,16443
Z3933240911ST,40th,M,58125
Z3933250271ST,40th,M,18396
Z3933260511ST,40th,M,39680
Z3934253001ST,40th,F,52559
Z3934270611ST,40th,M,57930
Z3943213811ST,40th,M,25167
Z3943235751ST,40th,M,5388
Z3943293191ST,40th,M,24308
Z3944295801ST,40th,F,21974
Z3953232331ST,40th,F,8324
Z3953289791ST,40th,M,7040
Z3963216001ST,40th,F,1715
Z3963217391ST,40th,M,31156
Z3963221691ST,40th,M,3734
Z3963231461ST,40th,M,13624
Z3963232511ST,40th,F,13932
Z3963233461ST,40th,F,7356
Z3963239051ST,40th,F,3766
Z3963245681ST,40th,F,18600
Z3963245951ST,40th,F,17950
Z3963247731ST,40th,F,12010
Z3963251381ST,40th,F,6276
Z3963268811ST,40th,F,15290
Z3963272361ST,40th,F,16550
Z3963273701ST,40th,F,22678
Z3963274201ST,40th,F,13433
Z4013210261ST,40th,F,7057
Z4013212441ST,40th,M,4796
Z4013251051ST,40th,M,7726
Z4013283101ST,40th,M,22739
Z4014235301ST,40th,F,16247
Z4014249101ST,40th,M,58434
Z4014299511ST,40th,M,28310
Z4024246671ST,40th,M,42136
Z4024267691ST,40th,F,31533
Z4024296681ST,40th,M,28415
Z4034227621ST,40th,F,7425
Z4034282851ST,40th,M,1745
Z4034284101ST,40th,M,10459
Z4043237331ST,40th,M,7697
Z4043239911ST,40th,M,28340
Z4043291281ST,40th,M,28464
Z4044226411ST,40th,F,63314
Z4044271291ST,40th,F,39307
Z4063245501ST,40th,M,21503
Z4063255321ST,40th,M,6544
Z4073250431ST,40th,M,36729
Z4073294931ST,40th,M,2068
Z4104219691ST,40th,F,16695
Z4104220121ST,40th,M,8620
Z4104256861ST,40th,M,47553
Z4104282171ST,40th,F,8597
Z4113260031ST,40th,M,57959
Z4114215051ST,40th,M,15861
Z4124214791ST,40th,M,44984
Z4124254371ST,40th,F,8776
Z4124269721ST,40th,M,26324
Z4134212581ST,40th,F,1198
Z4134260911ST,40th,M,31537
Z4134286261ST,40th,F,22734
Z4134291421ST,40th,F,4760
Z4134296851ST,40th,F,4803
Z4143252851ST,40th,M,27673
Z4143276081ST,40th,M,2407
Z4143279541ST,40th,F,14687
Z4144283701ST,40th,M,58660
Z4144287901ST,40th,F,11332
Z4153241321ST,40th,M,16875
Z4153242541ST,40th,M,10450
Z4154223351ST,40th,F,5029
Z4154259551ST,40th,M,2826
Z4154290611ST,40th,F,18323
Z4163210561ST,40th,M,22222
Z4173247921ST,40th,M,403130
Z4173262451ST,40th,M,447802
Z4204222661ST,40th,F,138170
Z4204246461ST,40th,F,200767
Z4213216091ST,40th,M,24342
Z4213236381ST,40th,M,52801
Z4213254141ST,40th,M,14269
Z4213254991ST,40th,M,5507
Z4213264901ST,40th,M,12748
Z4223221861ST,40th,M,12164
Z4224246121ST,40th,F,7003
Z4224283351ST,40th,M,31097
Z4233275261ST,40th,M,16948
Z4234226671ST,40th,M,16568
Z4234269521ST,40th,F,8758
Z4234276851ST,40th,M,14905
Z4243213961ST,40th,M,44730
Z4243220681ST,40th,M,31515
Z4243245421ST,40th,F,3331
Z4243293931ST,40th,M,42021
Z4244214181ST,40th,F,58518
Z4244236761ST,40th,F,57719
Z4244247851ST,40th,F,4100
Z4253293071ST,40th,M,44682
Z4253295861ST,40th,M,46506
Z4304214931ST,40th,F,1402
Z4304236941ST,40th,M,15261
Z4304253201ST,40th,M,47508
Z4304278291ST,40th,F,1723
Z4313248611ST,40th,M,27636
Z4313280211ST,40th,F,63168
Z4314257501ST,40th,M,16214
Z4314279801ST,40th,M,22203
Z4323259071ST,40th,M,8773
Z4324220501ST,40th,M,5581
Z4324230781ST,40th,M,4763
Z4324252311ST,40th,M,7029
Z4334219281ST,40th,F,4591
Z4334243951ST,40th,F,32421
Z4334244771ST,40th,F,4145
Z4334268111ST,40th,F,61713
Z4334272621ST,40th,F,27157
Z4343213121ST,40th,M,16830
Z4343293631ST,40th,M,61112
Z4344229101ST,40th,F,5043
Z4344245391ST,40th,F,2058
Z4344284051ST,40th,F,44678
Z4353220851ST,40th,M,36660
Z4353230111ST,40th,F,36155
Z4353230801ST,40th,M,31194
Z4353232121ST,40th,F,4044
Z4353247671ST,40th,M,16883
Z4353250041ST,40th,F,36135
Z4353253571ST,40th,M,18556
Z4353265111ST,40th,M,28342
Z4353265611ST,40th,F,28109
Z4353273791ST,40th,F,17303
Z4353276781ST,40th,M,28400
Z4353286191ST,40th,M,12804
Z4353295891ST,40th,M,15630
Z4363243361ST,40th,F,12630
Z4404243981ST,40th,F,13975
Z4404257781ST,40th,F,28346
Z4404259961ST,40th,F,14128
Z4404265581ST,40th,M,24311
Z4413246851ST,40th,M,15231
Z4414248291ST,40th,M,472969
Z4414250861ST,40th,F,32141
Z4414253461ST,40th,F,16310
Z4414259231ST,40th,F,18130
Z4414291291ST,40th,F,31179
Z4414292241ST,40th,M,641510
Z4414295041ST,40th,M,2467
Z4414298741ST,40th,M,6679
Z4423296901ST,40th,M,791779
Z4424214721ST,40th,M,32162
Z4424247861ST,40th,F,5794
Z4424253471ST,40th,F,26446
Z4424282401ST,40th,M,486902
Z4433259821ST,40th,M,8016
Z4433264831ST,40th,F,3936
Z4434214891ST,40th,M,1600
Z4434224821ST,40th,F,34686
Z4434255841ST,40th,F,12045
Z4434258841ST,40th,F,8866
Z4434266781ST,40th,F,32132
Z4434272961ST,40th,M,22715
Z4434275641ST,40th,M,15821
Z4434299041ST,40th,F,5066
Z4444221251ST,40th,M,7946
Z4444223311ST,40th,M,17819
Z4444261461ST,40th,F,4921
Z4444266991ST,40th,F,4059
Z4453217891ST,40th,F,456871
Z4453221581ST,40th,M,500897
Z4453266051ST,40th,M,61126
Z4453282201ST,40th,M,3461
Z4462267071ST,40th,M,1905
Z4463255871ST,40th,M,54635
Z4463257851ST,40th,F,7577
Z4463263081ST,40th,M,61409
Z4463297871ST,40th,M,34696
Z4473217681ST,40th,M,1633
Z4473293761ST,40th,M,17000
Z4473295911ST,40th,M,6611
Z4473297751ST,40th,F,7215
Z4504226751ST,40th,F,7524
Z4504264311ST,40th,M,11921
Z4504290321ST,40th,M,4971
Z4504292281ST,40th,F,2635
Z4513260661ST,40th,M,3740
Z4513278321ST,40th,M,4593
Z4514219421ST,40th,F,16003
Z4514227541ST,40th,M,28774
Z4514237321ST,40th,F,7675
Z4514240031ST,40th,M,31095
Z4514244251ST,40th,F,407725
Z4514247751ST,40th,F,8323
Z4514253111ST,40th,F,24345
Z4514262461ST,40th,M,13932
Z4514265681ST,40th,F,10119
Z4514266821ST,40th,M,17085
Z4514294781ST,40th,F,8763
Z4523211281ST,40th,M,18446
Z4523225511ST,40th,M,8701
Z4523286511ST,40th,M,10562
Z4523297311ST,40th,M,12227
Z4524235911ST,40th,F,14579
Z4524280691ST,40th,M,5504
Z4524290841ST,40th,M,7362
Z4524295541ST,40th,M,3018
Z4533289251ST,40th,M,7342
Z4534237171ST,40th,F,14995
Z4534254931ST,40th,F,13994
Z4534276181ST,40th,F,31117
Z4534288621ST,40th,F,16239
Z4543290711ST,40th,F,16592
Z4544232701ST,40th,F,6200
Z4544276501ST,40th,M,28684
Z4544281511ST,40th,F,28753
Z4553220901ST,40th,M,16580
Z4553236961ST,40th,F,1662
Z4563275781ST,40th,F,6345
Z4604212041ST,40th,M,15870
Z4604218671ST,40th,F,23029
Z4604225351ST,40th,F,2582
Z4604228141ST,40th,F,12251
Z4604229891ST,40th,M,16303
Z4604230441ST,40th,M,21321
Z4604238611ST,40th,F,3736
Z4604242971ST,40th,M,31117
Z4604254111ST,40th,M,12135
Z4604263291ST,40th,M,28686
Z4604281031ST,40th,M,15626
Z4604284791ST,40th,M,5662
Z4604297361ST,40th,F,18432
Z4614223671ST,40th,F,5091
Z4614225981ST,40th,M,7534
Z4614240471ST,40th,M,42178
Z4614258131ST,40th,F,4421
Z4614261431ST,40th,M,13603
Z4614280591ST,40th,F,5646
Z4614292791ST,40th,M,21664
Z4623298471ST,40th,M,42198
Z4624228351ST,40th,F,3657
Z4624237261ST,40th,M,17987
Z4624240741ST,40th,F,4616
Z4624256351ST,40th,M,10301
Z4624273351ST,40th,F,14674
Z4624277921ST,40th,M,22739
Z4624292851ST,40th,M,3438
Z4633255011ST,40th,M,28780
Z4633282941ST,40th,F,16704
Z4634210881ST,40th,M,2627
Z4634215071ST,40th,M,61125
Z4634228191ST,40th,F,11173
Z4634230341ST,40th,F,16333
Z4634234681ST,40th,F,3116
Z4634234951ST,40th,M,18359
Z4634240381ST,40th,F,21093
Z4634243681ST,40th,F,2831
Z4634244521ST,40th,M,44466
Z4634248091ST,40th,F,14574
Z4634253861ST,40th,F,10522
Z4634255781ST,40th,M,22786
Z4634257531ST,40th,F,15002
Z4634262471ST,40th,F,4322
Z4634263341ST,40th,F,15875
Z4634264181ST,40th,F,34818
Z4634264501ST,40th,F,5057
Z4634267051ST,40th,F,31243
Z4634269131ST,40th,F,16535
Z4634273161ST,40th,F,1735
Z4634274481ST,40th,F,31068
Z4634275401ST,40th,F,14012
Z4634276151ST,40th,M,6345
Z4634279681ST,40th,F,3326
Z4634280381ST,40th,F,4633
Z4634288241ST,40th,M,12141
Z4634294381ST,40th,F,24394
Z4644211101ST,40th,M,36640
Z4644211131ST,40th,F,4709
Z4644211931ST,40th,M,28500
Z4644212221ST,40th,F,44469
Z4644221351ST,40th,M,18132
Z4644222901ST,40th,F,41933
Z4644223591ST,40th,M,6593
Z4644224641ST,40th,M,17359
Z4644226041ST,40th,M,44513
Z4644226451ST,40th,F,3955
Z4644228221ST,40th,M,5266
Z4644228621ST,40th,F,16875
Z4644230281ST,40th,M,8023
Z4644230951ST,40th,F,25004
Z4644231451ST,40th,F,31171
Z4644236071ST,40th,M,7420
Z4644236131ST,40th,M,13839
Z4644236271ST,40th,F,26388
Z4644236451ST,40th,M,47508
Z4644237491ST,40th,F,16585
Z4644241041ST,40th,F,35206
Z4644247011ST,40th,F,14434
Z4644249921ST,40th,M,24340
Z4644250371ST,40th,F,56122
Z4644260011ST,40th,M,7929
Z4644260721ST,40th,F,15019
Z4644262221ST,40th,F,44439
Z4644262601ST,40th,F,17001
Z4644263351ST,40th,F,24414
Z4644263581ST,40th,M,22129
Z4644265121ST,40th,F,8529
Z4644266081ST,40th,M,50960
Z4644267101ST,40th,M,25640
Z4644269921ST,40th,M,4955
Z4644272561ST,40th,F,5042
Z4644273061ST,40th,M,52648
Z4644273461ST,40th,F,50949
Z4644276291ST,40th,F,48051
Z4644281771ST,40th,F,58616
Z4644284881ST,40th,M,47274
Z4644285861ST,40th,F,63586
Z4644286931ST,40th,F,12973
Z4644289361ST,40th,M,51119
Z4644290611ST,40th,F,15800
Z4644298691ST,40th,M,28746
Z4644298801ST,40th,F,24108
Z4644299961ST,40th,F,17077
Z4653218461ST,40th,M,4593
Z4663212801ST,40th,M,37639
Z4663218251ST,40th,M,58942
Z4663256171ST,40th,F,17014
Z4663270721ST,40th,F,25102
Z4663283411ST,40th,F,28722
Z4663288961ST,40th,F,16533
Z4672236701ST,40th,M,2535
Z4704229411ST,40th,F,18387
Z4704233661ST,40th,F,21508
Z4704282051ST,40th,M,4805
Z4704282721ST,40th,F,47787
Z4704288691ST,40th,F,400726
Z4704289101ST,40th,F,16509
Z4714210131ST,40th,M,17046
Z4714210601ST,40th,F,18603
Z4714211291ST,40th,M,10885
Z4714211391ST,40th,F,13600
Z4714221071ST,40th,F,13938
Z4714223851ST,40th,F,21381
Z4714223931ST,40th,M,2829
Z4714229931ST,40th,F,12815
Z4714231951ST,40th,F,59359
Z4714232491ST,40th,M,31184
Z4714233131ST,40th,M,16538
Z4714237061ST,40th,M,17586
Z4714237221ST,40th,F,130871
Z4714237751ST,40th,F,42815
Z4714237991ST,40th,F,16588
Z4714238991ST,40th,F,6993
Z4714239331ST,40th,M,16505
Z4714245211ST,40th,F,58684
Z4714246281ST,40th,M,6330
Z4714251931ST,40th,M,18146
Z4714252231ST,40th,M,28680
Z4714252761ST,40th,M,4764
Z4714258231ST,40th,M,51357
Z4714258381ST,40th,F,1819
Z4714259331ST,40th,F,5797
Z4714266371ST,40th,F,5023
Z4714267731ST,40th,F,18413
Z4714271751ST,40th,M,10808
Z4714273431ST,40th,F,28767
Z4714274361ST,40th,F,4989
Z4714275131ST,40th,M,18148
Z4714278441ST,40th,M,26444
Z4714281731ST,40th,F,8271
Z4714289831ST,40th,F,27348
Z4714290731ST,40th,M,18359
Z4714294131ST,40th,M,17347
Z4714296631ST,40th,M,1764
Z4723247851ST,40th,M,52625
Z4724227201ST,40th,F,472501
Z4724233931ST,40th,F,18315
Z4724249491ST,40th,M,6501
Z4724260351ST,40th,F,41584
Z4724264111ST,40th,M,6943
Z4724264431ST,40th,F,7984
Z4724265401ST,40th,F,16559
Z4724265471ST,40th,M,21683
Z4724289651ST,40th,M,28611
Z4733211471ST,40th,F,8330
Z4733229391ST,40th,M,7900
Z4733277731ST,40th,M,15052
Z4734222921ST,40th,F,13587
Z4734250901ST,40th,F,15028
Z4734263161ST,40th,M,28169
Z4734293031ST,40th,F,15510
Z4743274891ST,40th,M,14061
Z4744228711ST,40th,F,2865
Z4744246991ST,40th,F,62385
Z4744258511ST,40th,F,11347
Z4744278461ST,40th,F,10851
Z4744279511ST,40th,F,12711
Z4744282371ST,40th,F,11923
Z4753247171ST,40th,F,340805
Z4753249691ST,40th,M,18364
Z4753263921ST,40th,F,7425
Z4753284961ST,40th,F,16240
Z4763240831ST,40th,F,4036
Z4763275141ST,40th,F,34891
Z4763276021ST,40th,F,26484
Z4763283571ST,40th,F,16866
Z4763298391ST,40th,F,16955
Z4804236821ST,40th,M,13840
Z4804249561ST,40th,F,28411
Z4804276781ST,40th,M,14064
Z4814212941ST,40th,M,32227
Z4814219871ST,40th,F,445855
Z4814223581ST,40th,F,21384
Z4814227411ST,40th,F,44653
Z4814244761ST,40th,F,32010
Z4814245111ST,40th,M,18572
Z4814257271ST,40th,F,35356
Z4814263481ST,40th,M,6642
Z4814263711ST,40th,F,7005
Z4814269901ST,40th,M,10091
Z4814273391ST,40th,F,15030
Z4814285241ST,40th,F,16003
Z4824215581ST,40th,F,4745
Z4824218341ST,40th,F,16969
Z4824218531ST,40th,M,17772
Z4824218981ST,40th,F,1657
Z4824220271ST,40th,F,59423
Z4824220911ST,40th,F,21523
Z4824222541ST,40th,F,24447
Z4824229101ST,40th,M,54143
Z4824230981ST,40th,M,26318
Z4824240541ST,40th,M,21619
Z4824247381ST,40th,F,21104
Z4824249331ST,40th,F,4187
Z4824257211ST,40th,F,15261
Z4824257791ST,40th,F,25930
Z4824259531ST,40th,F,17578
Z4824260461ST,40th,F,6764
Z4824263611ST,40th,F,15335
Z4824268981ST,40th,F,51385
Z4824276131ST,40th,F,52240
Z4824276361ST,40th,M,17149
Z4824277021ST,40th,F,363782
Z4824279611ST,40th,M,17539
Z4824280131ST,40th,M,62261
Z4824283271ST,40th,M,14125
Z4824287041ST,40th,M,11813
Z4824289311ST,40th,M,16860
Z4824295441ST,40th,M,10356
Z4824296901ST,40th,F,8532
Z4833243221ST,40th,M,14593
Z4833245841ST,40th,F,7763
Z4834227381ST,40th,M,31578
Z4843216341ST,40th,F,28497
Z4843225511ST,40th,M,8108
Z4844237811ST,40th,F,36966
Z4844268181ST,40th,F,11163
Z4844295311ST,40th,F,13527
Z4853245741ST,40th,F,13826
Z4853254021ST,40th,M,5315
Z4853278871ST,40th,M,28796
Z4863221321ST,40th,F,44923
Z4863222001ST,40th,F,5778
Z4863226541ST,40th,F,12405
Z4863243381ST,40th,M,12132
Z4863244671ST,40th,F,14271
Z4863251901ST,40th,M,7318
Z4863255261ST,40th,F,5333
Z4863264241ST,40th,M,28609
Z4863286991ST,40th,M,5645
Z4863299941ST,40th,F,13903
Z4872270671ST,40th,M,17019
Z4913228041ST,40th,M,44754
Z4913264741ST,40th,M,7358
Z4914228101ST,40th,F,10305
Z4914242721ST,40th,M,13440
Z4914256041ST,40th,M,28321
Z4914259951ST,40th,M,1083
Z4914267941ST,40th,M,5404
Z4914285851ST,40th,F,411734
Z4914294681ST,40th,M,27220
Z4924211661ST,40th,M,37723
Z4924212041ST,40th,M,51017
Z4924214661ST,40th,F,5343
Z4924217351ST,40th,F,12613
Z4924218201ST,40th,M,21362
Z4924227251ST,40th,M,44600
Z4924228291ST,40th,M,28503
Z4924274411ST,40th,M,58663
Z4924277081ST,40th,F,17732
Z4924279041ST,40th,F,16461
Z4924285971ST,40th,F,14430
Z4924287261ST,40th,F,467843
Z4924294291ST,40th,M,28725
Z4933215941ST,40th,M,15383
Z4933224251ST,40th,M,13134
Z4933244441ST,40th,F,5039
Z4933252901ST,40th,F,12739
Z4933269541ST,40th,M,16448
Z4933277551ST,40th,M,36020
Z4933294351ST,40th,M,26389
Z4933294601ST,40th,M,58555
